card,m,y,catchname,catch,locality,time,org,map,east,north,altitude,penet,fishmeth,effort,pass,spcode,abund,number,minl,maxl,nzreach
15827,1,1993,Taieri R,743.81,Linn Burn,1600,uoo,h43,2258300,5528300,850,226,efp,25,1,galdep,c,,40,80,14045882
15828,3,1992,Taieri R,743.8,Totara Creek tributary,1430,uoo,h42,2254200,5530800,1120,229,obs,40,,galdep,o,,30,80,14045050
15829,3,1993,Taieri R,743.8,Totara Creek,1700,uoo,h43,2254200,5529900,1070,228,han,3,,galdep,o,,30,80,14045424
15830,11,1991,Taieri R,743.873,Deep Creek,1130,uoo,h43,2251800,5522100,770,258,han,10,,saltru,o,,100,,14048076
15831,11,1991,Taieri R,743.81,Linn Burn,930,uoo,h42,2265500,5532200,450,216,efp,40,1,gobbre,o,,,,14044423
15831,11,1991,Taieri R,743.81,Linn Burn,930,uoo,h42,2265500,5532200,450,216,efp,40,1,galdep,c,,30,100,14044423
15832,3,1993,Taieri R,743.648,Healy Creek,1400,uoo,i41,2299000,5576200,930,197,efp,25,3,galdep,,17,24,106,14024373
15833,6,1993,Taieri R,743.648,Healy Creek,1400,uoo,i41,2299000,5576200,930,197,efp,25,3,galdep,,7,80,103,14024373
15834,10,1993,Taieri R,743.648,Healy Creek,1500,uoo,i41,2299000,5576200,930,197,efp,25,3,galdep,,17,38,106,14024373
15835,1,1994,Taieri R,743.648,Healy Creek,1500,uoo,i41,2299000,5576200,930,197,efp,25,3,galdep,,9,79,102,14024373
15836,4,1994,Taieri R,743.648,Healy Creek,1500,uoo,i41,2299000,5576200,930,197,efp,25,3,galdep,,5,54,94,14024373
15837,12,1994,Taieri R,743.648,Healy Creek,1500,uoo,i41,2299000,5576200,930,197,obs,,,nospec,,,,,14024373
15838,3,1992,Taieri R,743.16,Three O'clock Stream,1000,uoo,i43,2311100,5509600,270,87,efp,120,5,saltru,,110,70,142,14051904
15838,3,1992,Taieri R,743.16,Three O'clock Stream,1000,uoo,i43,2311100,5509600,270,87,efp,120,5,galdep,,37,45,114,14051904
15839,6,1992,Taieri R,743.16,Three O'clock Stream,930,uoo,i43,2311100,5509600,270,87,efp,125,3,gobbre,,4,,,14051904
15839,6,1992,Taieri R,743.16,Three O'clock Stream,930,uoo,i43,2311100,5509600,270,87,efp,125,3,galdep,,81,51,114,14051904
15839,6,1992,Taieri R,743.16,Three O'clock Stream,930,uoo,i43,2311100,5509600,270,87,efp,125,3,saltru,,100,68,125,14051904
15839,6,1992,Taieri R,743.16,Three O'clock Stream,930,uoo,i43,2311100,5509600,270,87,efp,125,3,anguil,,2,,,14051904
15839,6,1992,Taieri R,743.16,Three O'clock Stream,930,uoo,i43,2311100,5509600,270,87,efp,125,3,angaus,,1,,,14051904
15839,6,1992,Taieri R,743.16,Three O'clock Stream,930,uoo,i43,2311100,5509600,270,87,efp,125,3,angdie,,7,,,14051904
15844,6,1992,Taieri R,743.16,Three O'clock Stream tributary,915,uoo,i43,2311100,5510200,275,88,efp,90,3,galbre,,2,59,134,14051332
15844,6,1992,Taieri R,743.16,Three O'clock Stream tributary,915,uoo,i43,2311100,5510200,275,88,efp,90,3,galdep,,45,43,113,14051332
15845,10,1992,Taieri R,743.16,Three O'clock Stream tributary,915,uoo,i43,2311100,5510200,275,88,efp,90,3,galbre,,2,128,164,14051332
15845,10,1992,Taieri R,743.16,Three O'clock Stream tributary,915,uoo,i43,2311100,5510200,275,88,efp,90,3,angdie,,2,,,14051332
15845,10,1992,Taieri R,743.16,Three O'clock Stream tributary,915,uoo,i43,2311100,5510200,275,88,efp,90,3,galdep,,135,43,112,14051332
15846,12,1992,Taieri R,743.16,Three O'clock Stream tributary,915,uoo,i43,2311100,5510200,275,88,efp,90,3,galbre,,4,77,164,14051332
15846,12,1992,Taieri R,743.16,Three O'clock Stream tributary,915,uoo,i43,2311100,5510200,275,88,efp,90,3,galdep,,134,49,101,14051332
15847,3,1993,Taieri R,743.16,Three O'clock Stream tributary,1000,uoo,i43,2311100,5510200,275,88,efp,90,3,galdep,,148,40,114,14051332
15847,3,1993,Taieri R,743.16,Three O'clock Stream tributary,1000,uoo,i43,2311100,5510200,275,88,efp,90,3,galbre,,1,,130,14051332
15848,6,1993,Taieri R,743.16,Three O'clock Stream tributary,930,uoo,i43,2311100,5510200,275,88,efp,90,3,galdep,,81,95,163,14051332
15848,6,1993,Taieri R,743.16,Three O'clock Stream tributary,930,uoo,i43,2311100,5510200,275,88,efp,90,3,galbre,,2,44,103,14051332
15849,9,1993,Taieri R,743.16,Three O'clock Stream tributary,930,uoo,i43,2311100,5510200,275,88,efp,90,3,galdep,,73,45,99,14051332
15849,9,1993,Taieri R,743.16,Three O'clock Stream tributary,930,uoo,i43,2311100,5510200,275,88,efp,90,3,galbre,,3,66,132,14051332
15850,5,1994,Taieri R,743.16,Three O'clock Stream tributary,900,uoo,i43,2311100,5510200,275,88,efp,90,3,galdep,,35,63,105,14051332
15850,5,1994,Taieri R,743.16,Three O'clock Stream tributary,900,uoo,i43,2311100,5510200,275,88,efp,90,3,galbre,,2,147,171,14051332
15850,5,1994,Taieri R,743.16,Three O'clock Stream tributary,900,uoo,i43,2311100,5510200,275,88,efp,90,3,saltru,,1,298,,14051332
15860,10,1992,Taieri R,743.16,Three O'clock Stream,1300,uoo,i43,2311100,5509600,270,87,efp,125,3,saltru,,42,74,161,14051904
15860,10,1992,Taieri R,743.16,Three O'clock Stream,1300,uoo,i43,2311100,5509600,270,87,efp,125,3,galdep,,118,51,110,14051904
15861,12,1992,Taieri R,743.16,Three O'clock Stream,1300,uoo,i43,2311100,5509600,270,87,efp,125,3,galdep,,86,42,107,14051904
15861,12,1992,Taieri R,743.16,Three O'clock Stream,1300,uoo,i43,2311100,5509600,270,87,efp,125,3,saltru,,26,37,187,14051904
15862,3,1993,Taieri R,743.16,Three O'clock Stream,1300,uoo,i43,2311100,5509600,270,87,efp,125,3,galdep,,96,48,111,14051904
15862,3,1993,Taieri R,743.16,Three O'clock Stream,1300,uoo,i43,2311100,5509600,270,87,efp,125,3,saltru,,86,65,121,14051904
15863,6,1993,Taieri R,743.16,Three O'clock Stream,1330,uoo,i43,2311100,5509600,270,87,efp,125,3,saltru,,27,81,240,14051904
15863,6,1993,Taieri R,743.16,Three O'clock Stream,1330,uoo,i43,2311100,5509600,270,87,efp,125,3,galdep,,106,53,120,14051904
15870,4,1994,Taieri R,743.648,Healy Creek,1545,uoo,i41,2299400,5578500,700,195,efp,85,3,galdep,,91,54,88,14023208
15871,9,1993,Taieri R,743.16,Three O'clock Stream,1330,uoo,i43,2311100,5509600,270,87,efp,125,3,galdep,,111,53,106,14051904
15871,9,1993,Taieri R,743.16,Three O'clock Stream,1330,uoo,i43,2311100,5509600,270,87,efp,125,3,saltru,,17,86,150,14051904
15872,2,1994,Taieri R,743.16,Three O'clock Stream,1330,uoo,i43,2311100,5509600,270,87,efp,125,3,gobbre,,1,53,,14051904
