consumer,resource,res.category,res.order,res.family,res.subfamily,res.genus,res.species,res.method,con.category,con.order,con.family,con.subfamily,con.genus,con.species,con.method,linkevidence,source.id
Paranephrops zealandicus,Paryoxethira,Invertebrate,Trichoptera,Hydroptilidae,,Paroxyethira,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla dieffenbachii,Paryoxethira,Invertebrate,Trichoptera,Hydroptilidae,,Paroxyethira,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla australis,Paryoxethira,Invertebrate,Trichoptera,Hydroptilidae,,Paroxyethira,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Paryoxethira,Invertebrate,Trichoptera,Hydroptilidae,,Paroxyethira,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Paranephrops zealandicus,Paucispinigera,Invertebrate,Diptera,Chironomidae,,,,family,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla,Pentaneurini,Invertebrate,Diptera,Chironomidae,Tanypodinae,,,family,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Anguilla australis,Perca,Fish,Perciformes,Percidae,,Perca,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Perca,Fish,Perciformes,Percidae,,Perca,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Galaxias argenteus,Philorheithrus,Invertebrate,Trichoptera,Philorheithridae,,Philorheithrus,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Gobiomorphus breviceps,Physa,Invertebrate,Mollusca,Physidae,,Physa,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Gobiomorphus cotidianus,Physa,Invertebrate,Mollusca,Physidae,,Physa,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus cotidianus,genus,direct,5
Salmo trutta,Physa,Invertebrate,Mollusca,Physidae,,Physa,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,5
Anguilla dieffenbachii,Physastra,Invertebrate,Mollusca,Planorbidae,,Physastra,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Anguilla australis,Physastra,Invertebrate,Mollusca,Planorbidae,,Physastra,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Physastra,Invertebrate,Mollusca,Planorbidae,,Physastra,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Anguilla australis,Planorbis,Invertebrate,Mollusca,Planorbidae,,Planorbis,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla australis,species,,13
Anguilla dieffenbachii,Planorbis,Invertebrate,Mollusca,Planorbidae,,Planorbis,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Alloecentrella magnicornis,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Helicophidae,,Alloecentrella,Alloecentrella magnicornis,genus,,8
Hudsonema aliena,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Leptoceridae,,Hudsonema,Hudsonema aliena,genus,,8
Oeconesus maori,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Oeconesidae,,Oeconesus,Oeconesus maori,genus,,8
Oeconesus similis,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Oeconesidae,,Oeconesus,Oeconesus similis,genus,,8
Olinga feredayi,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Conoesucidae,,Olinga,Olinga feredayi,genus,,8
Pycnocentria sylvestris,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentria,Pycnocentria sylvestris,genus,,8
Triplectides obsoleta,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Leptoceridae,,Triplectides,Triplectides obsoleta,genus,,8
Triplectidina oreolimnetes,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Leptoceridae,,Triplectidina,Triplectidina oreolimnetes,genus,,8
Zelandopsyche,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Plecoptera,Gripopterygidae,,Zelandoperla,,genus,,8
Zelolessica cheira,Plant.material,Plant.material,Plant.material,,,,,order,Invertebrate,Trichoptera,Helicophidae,,Zelolessica,Zelolessica cheira,genus,,8
